0  8  6  2 12  9 11 21 25 17 24 27  4 30 26 10  3 29 23 14 20 13 18  7 22 16  5 15 19 31 28  1
0  8  6  2 12  9 11 21 25 17 24 27  4 30 26 10  3 29 23 14 20 13 18  7 22 16  5 15 19 31 28  1
0  8  6  2 12  9 11 21 25 17 27 24  4 30 26 10  3 29 23 14 20 13 18  7 22 16  5 15 19 31 28  1
0  8  6  2 12  9 11 21 25 17 27 24  4 30 26 10  3 29 23 14 20 13 18  7 22 16  5 15 19 31 28  1
0  8  6  2 12  9 11 21 25 17 27 24  4 30 26 10  3 29 23 14 20 13 18  7 22 16 28  5 15 19 31  1
0  8  6  2 12  9 11 21 25 17 27 24  4 30 26 10  3 29 23 14 13 18 20  7 22 16 28  5 15 19 31  1
0  8  6  2 12  9 11 21 25 17 27 24  4 30 26 10  3 29 23 14 13 18 20  7 22 16 28  5 15 19 31  1
0  8  6  2 12  9 11 21 25 17 27 24  4 30 26 10  3 29 23 14 13 18 20  7 22 16 28  5 15 19 31  1
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 23 14  1 13 18 20  7 22 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 23 14  1 13 18 20  7 22 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 23 14  1 13 18 20  7 22 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 30 26  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 26 30  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 26 30  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
